X;Y;cleabs;nature;nom_collaboratif_gauche;nom_collaboratif_droite;importance;fictif;position_par_rapport_au_sol;etat_de_l_objet;date_creation;date_modification;date_d_apparition;date_de_confirmation;sources;identifiants_sources;methode_d_acquisition_planimetrique;precision_planimetrique;methode_d_acquisition_altimetrique;precision_altimetrique;nombre_de_voies;largeur_de_chaussee;itineraire_vert;prive;sens_de_circulation;reserve_aux_bus;urbain;vitesse_moyenne_vl;acces_vehicule_leger;acces_pieton;periode_de_fermeture;nature_de_la_restriction;restriction_de_hauteur;restriction_de_poids_total;restriction_de_poids_par_essieu;restriction_de_largeur;restriction_de_longueur;matieres_dangereuses_interdites;borne_debut_gauche;borne_debut_droite;borne_fin_gauche;borne_fin_droite;insee_commune_gauche;insee_commune_droite;alias_gauche;alias_droit;date_de_mise_en_service;identifiant_voie_1_gauche;identifiant_voie_1_droie;liens_vers_route_nommee;liens_vers_itineraire_autre;cpx_numero;cpx_numero_route_europeenne;cpx_classement_administratif;cpx_gestionnaire;cpx_toponyme_route_nommee;cpx_toponyme_itineraire_cyclable;cpx_toponyme_voie_verte;cpx_nature_itineraire_autre;cpx_toponyme_itineraire_autre;delestage;source_voie_ban_gauche;source_voie_ban_droite;nom_voie_ban_gauche;nom_voie_ban_droite;lieux_dits_ban_gauche;lieux_dits_ban_droite;identifiant_voie_ban_gauche;identifiant_voie_ban_droite;sens_amenagement_cyclable_gauche;sens_amenagement_cyclable_droit;amenagement_cyclable_gauche;amenagement_cyclable_droit;aire_de_retournement_dfci;gabarit_dfci;impasse_dfci;nature_detaillee_dfci;ouvrage_d_art_limitant_dfci;pente_maximale_dfci;piste_dfci;piste_dfci_debroussaillee;piste_dfci_fosses;sens_de_circulation_dfci;tout_terrain_dfci;vitesse_moyenne_dfci;zone_de_croisement_dfci
2.16843578187926;48.6865995851061;way/119894541;Chemin;;;"6";Faux;"0";En service;;2016-05-16T15:50:21Z;;2016-05-16;;;;;;;Sans objet;;Faux;Faux;Sans objet;;;;Libre;Libre;;Aménagement mixte hors voie verte;;;;;;Faux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.16859832808537;48.6864173910451;way/119894531;Chemin;;;"6";Faux;"0";En service;;2016-04-24T10:20:55Z;;2016-04-24;;;;;;;Sans objet;;Faux;Faux;Sans objet;;;;Libre;Libre;;Aménagement mixte hors voie verte;;;;;;Faux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.16860224538599;48.6838399841695;way/347935857;Chemin;;;"6";Faux;"1";En service;;2017-10-23T14:56:18Z;;2017-10-23;;;;;;;Sans objet;;Faux;Faux;Sans objet;;;;Libre;Libre;;Aménagement mixte hors voie verte;;;;;;Faux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.16855027367211;48.6848180486665;way/568745133;Sentier;;;"6";Faux;"0";En service;;2025-01-31T21:13:08Z;;2025-01-31;;;;;;;Sans objet;;Faux;Faux;Sans objet;;;;Physiquement impossible;Libre;;;;;;;;Faux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.16848684961718;48.6846690317125;way/568745132;Sentier;;;"6";Faux;"0";En service;;2025-01-31T21:13:08Z;;2025-01-31;;;;;;;Sans objet;;Faux;Faux;Sans objet;;;;Physiquement impossible;Libre;;;;;;;;Faux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.1685286;48.6856125497704;way/120925735;Chemin;;;"6";Faux;"0";En service;;2013-09-02T00:30:07Z;;2013-09-02;;;;;;;Sans objet;;Faux;Faux;Sans objet;;;;Libre;Libre;;Aménagement mixte hors voie verte;;;;;;Faux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.1684781;48.6862075997704;way/119894557;Chemin;;;"6";Faux;"0";En service;;2016-04-24T10:20:55Z;;2016-04-24;;;;;;;Sans objet;;Faux;Faux;Sans objet;;;;Libre;Libre;;Aménagement mixte hors voie verte;;;;;;Faux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.16844492810115;48.6853335439592;way/25397902;Chemin;;;"6";Faux;"0";En service;;2022-02-21T16:44:54Z;;2022-02-21;;;;;;;Sans objet;;Faux;Faux;Sans objet;;;;Libre;Libre;;Aménagement mixte hors voie verte;;;;;;Faux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.16842267736541;48.6851218012941;way/568745140;Sentier;;;"6";Faux;"0";En service;;2025-01-31T21:13:08Z;;2025-01-31;;;;;;;Sans objet;;Faux;Faux;Sans objet;;;;Physiquement impossible;Libre;;;;;;;;Faux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.16833114898724;48.6860569409466;way/90850463;Chemin;;;"6";Faux;"0";En service;;2016-04-24T10:20:56Z;;2016-04-24;;;;;;;Sans objet;;Faux;Faux;Sans objet;;;;Libre;Libre;;Aménagement mixte hors voie verte;;;;;;Faux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.16842483165344;48.6833114668432;way/1225790254;Route à 1 chaussée;Allée de l'Orléanais;Allée de l'Orléanais;"5";Faux;"0";En service;;2023-11-22T00:11:55Z;;2023-11-22;;;;;;;"0";;Faux;Faux;Double sens;;;;Libre;Libre;;;;;;;;Faux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
